Template Use Case/Title,Applicable SOPs,Text,Last Updated
Deemed LIT/Incomplete - Replaced,WIMS - Ship Status SOP (DSC2S) Process Is Replaced,"Hi CUSTOMER_NAME, We're following up on your recent inquiry into the shipping status of your STORE_NAME Order XXXXXXXXXX. We&rsquo;ve been informed that unfortunately, your order has been deemed lost in transit. We've requested a replacement unit which is expected to be delivered to you on or before SELECT_DATE. Once your replacement ships, you&rsquo;ll receive an auto-generated email with a link to the tracking details on our website. If you&rsquo;re not able to wait for the replacement, or simply change your mind, you can submit a request to cancel your order through My Account on our website. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We're following up on your recent inquiry into the shipping status of your Wayfair Order XXXXXXXXXX. We&rsquo;ve been informed that unfortunately, your order has been deemed lost in transit. We've requested a replacement unit which is expected to be delivered to you on or before SELECT_DATE. Once your replacement ships, you&rsquo;ll receive an auto-generated email with a link to the tracking details on our website. If you&rsquo;re not able to wait for the replacement, or simply change your mind, you can submit a request to cancel your order through My Account on our website. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
CT Wants Discount on Future Purchase,WIMS - Ship Status SOP (DSC2S) Process Other Reasons for Outreach,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX. Unfortunately, we&rsquo;re unable to offer discounts on future orders for shipping delays, as they are beyond our control. We are sorry for the experience you have had with your order. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX. Unfortunately, we&rsquo;re unable to offer discounts on future orders for shipping delays, as they are beyond our control. We are sorry for the experience you have had with your order. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Initiating Dock Search,Template is not currently referenced within any SOPs,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. We're initiating a physical search of the facility where your item was last located, which may take up to 6 days. We&rsquo;ll follow up as soon as we have an update on the progress. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. We're initiating a physical search of the facility where your item was last located, which may take up to 2 days. We&rsquo;ll follow up as soon as we have an update on the progress. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
CT Asks to Cancel Shipped Order,WIMS - Ship Status SOP (DSC2S) Process Has Scan Data,"Hi CUSTOMER_NAME, Thank you for your patience while we looked into your STORE_NAME Order XXXXXXXXXX. Our warehouse has confirmed that your item has already been shipped via CARRIER_NAME, so we are unable to cancel it. The tracking number(s), TRACKING_NUMBERS, show an estimated delivery date of SELECT_DATE. If you no longer wish to keep the item after delivery, you can initiate a return through My Account on our website. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, Thank you for your patience while we looked into your Wayfair Order XXXXXXXXXX. Our warehouse has confirmed that your item has already been shipped with COURIER_NAME, so we are unable to cancel it. The tracking number(s), TRACKING_NUMBERS, show an estimated delivery date of SELECT_DATE. If you no longer wish to keep the item after delivery, you can initiate a return through My Account on our website. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Order on Backorder,WIMS - Ship Status SOP (DSC2S) Process Backordered,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. After contacting the warehouse, we&rsquo;ve learned that your order has been delayed and is now estimated to ship on SELECT_DATE. If this new timeline doesn&rsquo;t work for you, we understand. You can explore similar items on our website, or our sales team can help you find something that ships sooner. Alternatively, you can cancel the order via My Account on our website. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. After contacting the warehouse, we&rsquo;ve learned that your order has been delayed and is now estimated to ship on SELECT_DATE. If this new timeline doesn&rsquo;t work for you, we understand. You can explore similar items on our website, or our sales team can help you find something that ships sooner. Alternatively, you can cancel the order via My Account on our website. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Order Backordered 2nd Time,WIMS - Ship Status SOP (DSC2S) Process Backordered,"Hi CUSTOMER_NAME, Thank you for reaching out regarding your STORE_NAME Order XXXXXXXXXX. We understand your frustration with the ongoing delays, and we apologize for the inconvenience. We&rsquo;ve spoken with the warehouse, and they&rsquo;ve informed us that your ITEM_NAME has been delayed once again due to unforeseen circumstances. It is now estimated to ship on SELECT_DATE. We appreciate your patience so far, and we understand if you no longer wish to wait. If you'd prefer not to, you can submit a cancellation request via My Account on our website. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, Thank you for reaching out regarding your Wayfair Order XXXXXXXXXX. We understand your frustration with the ongoing delays, and we apologise for the inconvenience. We&rsquo;ve spoken with the warehouse, and they&rsquo;ve informed us that your ITEM_NAME has been delayed once again due to unforeseen circumstances. It is now estimated to ship on SELECT_DATE. We appreciate your patience so far, and we understand if you no longer wish to wait. If you'd prefer not to, you can submit a cancellation request via My Account on our website. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Order Backordered - Made-to-Order,WIMS - Ship Status SOP (DSC2S) Process Backordered,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. After contacting the warehouse, we&rsquo;ve learned that your order has been delayed and is now estimated to ship on SELECT_DATE. Once shipped, you&rsquo;ll receive an email with tracking details. You can also view your tracking anytime through My Account on our website. We understand how frustrating these delays can be, but we're confident that once your custom-built ITEM_NAME arrives, it will be worth the wait. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. After contacting the warehouse, we&rsquo;ve learned that your order has been delayed and is now estimated to ship on SELECT_DATE. Once shipped, you&rsquo;ll receive an email with tracking details. You can also view your tracking anytime through My Account on our website. We understand how frustrating these delays can be, but we're confident that once your custom-built ITEM_NAME arrives, it will be worth the wait. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
PO Shows Movement Within Last 10 Days,WIMS - Ship Status SOP (DSC2S) Process Incomplete,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. We&rsquo;ve checked the status of your order on CARRIER_NAME's website, and there are now scans showing for your tracking number(s): TRACKING_NUMBERS, as of SELECT_DATE. It&rsquo;s not uncommon for shipments to go up to 10 days without showing movement, but we understand this can be stressful when trying to plan for delivery. We encourage you to check the tracking for updates and the estimated delivery date, as that will provide the most accurate information. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. We&rsquo;ve checked the status of your order on CARRIER_NAME's website, and there are now scans showing for your tracking number(s): TRACKING_NUMBERS, as of SELECT_DATE. It&rsquo;s not uncommon for shipments to go up to 10 days without showing movement, but we understand this can be stressful when trying to plan for delivery. We encourage you to check the tracking for updates and the estimated delivery date, as that will provide the most accurate information. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
PO is +1YR Old,WIMS - Ship Status SOP (DSC2S) Process LIT Incomplete,"Hi CUSTOMER_NAME, We apologize for the experience you've had with your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. We were notified about [DESCRIPTION OF SITUATION], but unfortunately we cannot offer a replacement or refund due to the age of your order. Our systems do not allow us to provide resolutions for orders that are over a year old. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team",
CT Asking for Price Match,Template is not currently referenced within any SOPs,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. NOT DELIVERED We know that you have been waiting for a long time for your order and understand your disappointment. DELIVERED We know that you waited a long time for your order and understand your disappointment. Regarding your price match inquiry, we want to let you know that unfortunately we no longer offer price matches for any scenario. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. NOT DELIVERED We know that you have been waiting for a long time for your order and understand your disappointment. DELIVERED We know that you waited a long time for your order and understand your disappointment. Regarding your price match inquiry, we want to let you know that unfortunately we no longer offer price matches for any scenario. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
CT Requests Guarantee on BO Delivery,WIMS - Ship Status SOP (DSC2S) Process Backordered,"Hi CUSTOMER_NAME, Thank you for reaching out regarding your STORE_NAME Order XXXXXXXXXX. We do expect the ITEM_NAME to be back in stock, but unfortunately, we do not have a firm date at this time. While we are doing everything we can to ensure this item ships to you as soon as possible, we cannot guarantee further delays given the challenges we've encountered so far. The warehouse is aware of the urgency, and we are closely monitoring the situation. If this does not resolve your concerns, we have a great selection of similar items, and our Sales Team can help you find an alternative. If you prefer to cancel your order, you can do so through My Account on our website. For additional help, please visit My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, Thank you for reaching out regarding your Wayfair Order XXXXXXXXXX. We do expect the ITEM_NAME to be back in stock, but unfortunately, we do not have a firm date at this time. While we are doing everything we can to ensure this item ships to you as soon as possible, we cannot guarantee no further delays given the challenges we've encountered so far. The warehouse is aware of the urgency, and we are closely monitoring the situation. If this does not resolve your concerns, we have a great selection of similar items, and our Sales Team can help you find an alternative. If you prefer to cancel your order, you can do so through My Account on our website. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Samples,WIMS - Ship Status SOP (DSC2S) Process Samples/Swatches,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. Our samples are sent via Economy USPS and tracking is not available for those shipments, which means that we are unable to trace the packages. Economy typically has a longer transit time and can take up to 14 days to be delivered. If you have not received your samples 14 days after they were marked shipped, please visit My Orders for assistance in getting replacements ordered. Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. Our samples are sent via Post/Royal Mail and tracking is not available for those shipments, which means that we are unable to trace the packages. Economy typically has a longer transit time and can take up to 14 days to be delivered. If you have not received your samples 14 days after they were marked shipped, please visit My Orders for assistance in getting replacements ordered. Sincerely, Your Wayfair Team",
Send to CSO,WIMS - Ship Status SOP (DSC2S) Process Other Reasons for Outreach,"Hi CUSTOMER_NAME, We understand the inconvenience this has caused, however this issue is outside the scope of what we can assist with directly. We&rsquo;ve already reached out to our Customer Service team on your behalf, but please note that follow-up may take up to X business days. For more immediate assistance, I recommend using the self-service functions by visiting My Orders . Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, Thank you for reaching out to us and for your patience. To assist you further, we have reached out to our Customer Service team to follow up with you. Please allow X days for them to be in contact with you via email. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
Update on Shipment Delay,WIMS - Ship Status SOP (DSC2S) Process Has Scan Data,"Hi CUSTOMER_NAME, We apologize for the delay of your STORE_NAME Order XXXXXXXXXX and for the lack of timely follow-up. LP Your ITEM_NAME was shipped via our freight carriers to ensure special care during transit, as it was too large to ship with FedEx or UPS. Freight shipments can take longer, but rest assured it is in transit. Your shipment is expected to arrive at your local delivery agent by SELECT_DATE. Once it arrives, it may take up to two business days for processing before they contact you to schedule a delivery date and 4-hour appointment window. You can monitor updates through My Orders on our website. SP HAS NOT SHIPPED The warehouse has estimated that your order will ship by SELECT_DATE, with an estimated delivery date of SELECT_DATE. Once it ships and is scanned by the carrier, you can track your order on the carrier&rsquo;s website or through My Orders on our website. SP HAS SHIPPED Your order shipped with UPS_SELECT_FedEx under tracking number(s) TRACKING_NUMBERS, and has an estimated delivery date of SELECT_DATE. You can monitor updates through My Orders on our website. Sincerely, Your STORE_NAME Team UK/IE Hi CUSTOMER_NAME, We apologise for the delay of your Wayfair Order XXXXXXXXXX and for the lack of timely follow-up. LP Your ITEM_NAME was shipped via our freight carriers to ensure special care during transit, as it was too large to ship with FedEx or UPS. Freight shipments can take longer, but rest assured it is in transit. Your shipment is expected to arrive at your local delivery agent by SELECT_DATE. Once it arrives, it may take up to two business days for processing before they contact you to schedule a delivery date and 4-hour appointment window. You can monitor updates through My Orders on our website. SP HAS NOT SHIPPED The warehouse has estimated that your order will ship by SELECT_DATE, with an estimated delivery date of SELECT_DATE. Once it ships and is scanned by the carrier, you can track your order on the carrier&rsquo;s website or through My Orders on our website. SP HAS SHIPPED Your order shipped with UPS_SELECT_FedEx under tracking number(s) TRACKING_NUMBERS, and has an estimated delivery date of SELECT_DATE. You can monitor updates through My Orders on our website. Sincerely, Your Wayfair Team",
Delayed due to CPUD,Template is not currently referenced within any SOPs,"UK/IE Hi CUSTOMER_NAME, I&rsquo;m writing to inform you about a delay of your Wayfair Order XXXXXXXXXX. Unfortunately, your ITEM_NAME has been delayed due to a courier pick-up issue. Our freight department is actively working to resolve this and ensure your item is collected as soon as possible. Once your order is picked up by our courier [COURIER_NAME], you will receive a shipping confirmation email with tracking information. For additional assistance, please visit My Orders . Sincerely, Your Wayfair Team",
2 Man Delivery Service Level,Template is not currently referenced within any SOPs,"UK/IE XDP: XDP will contact you 3-5 business days after the item ships to arrange delivery. By the morning of the scheduled delivery, you will receive a text message with a 2-hour time slot. Delivery is to a room of your choice, including up to one flight of stairs. Panther: Panther will deliver to a room of your choice within 2 flights of stairs. Expect a confirmation text or email the day before delivery with a 2-hour delivery window (between 7am and 8pm). They will call 60 minutes prior to delivery. If you miss your delivery, 3 reattempts will be made and they will call you directly to rebook this. XPO: XPO will call 1 hour before arrival and deliver to your room of choice up to 3 flights of stairs. You should receive a text message on the day of delivery with a link to live tracking. XPO will remove and dispose of packaging material upon request.",
1 Man Delivery Service Level,Template is not currently referenced within any SOPs,"UK/IE XDP: XDP delivery will be scheduled between 8am and 8pm to your front door. A text with a 2-hour time slot will be sent by the morning of delivery. BJS: BJS will send a proposed delivery date via text or email 3-5 business days after the item ships, which you'll need to confirm. You&rsquo;ll receive a 3-hour time slot the day before delivery and a 30-minute heads-up call prior to delivery to your front door. If missed, BJS will contact you to reschedule. Panther: Panther delivery will occur between 7am and 8pm to your front door. Expect a confirmation text or email the day before delivery with a 2-hour delivery window. They will call 60 minutes prior to delivery. If you miss your delivery, 3 reattempts will be made and they will call you directly to rebook this. WDN: WDN delivery will be made to your front door Monday-Friday between 8am and 8pm, within a 3-hour window confirmed via email. The delivery will be booked for the first business day after the order ships unless you have requested an alternative day. You will receive reminders the day before and morning of delivery, plus a final message when the driver is 1 stop away. They will make 3 delivery attempts in total and you can reschedule yourself twice through the tracking portal.",
SP Delivery Service Level,Template is not currently referenced within any SOPs,"UK/IE DHL: DHL will deliver to your front door between 7am and 6pm. On the day of delivery, you'll receive a 1-hour window via text or email, including a link to track your order and sign up for notifications when the driver is one stop away. If missed, three delivery attempts will be made. You can request the item be left with a neighbour, in a safe place, or collected from a nearby DHL shop. Delivery can be rescheduled if available. DPD: On the morning of the delivery, you'll receive a text or email from DPD with a 1-hour window. If you miss the delivery, you'll receive a message with information on where you can collect the item. If available, you can request delivery on a specific day by clicking the link and logging in to the DPD site. Certain delivery requests may incur an additional cost. Evri: Evri will deliver to your front door between 8am and 8pm. On the day of the delivery, you'll receive an email with a two-hour time slot. If you miss the delivery, a digital calling card will be sent to you in an email advising on when the next attempt will be made. Should Evri not have your email address, they will leave a physical calling card with you. There will be a total of 3 delivery attempts made. UPS: UPS will deliver to your front door between 9am and 7pm. If missed, you&rsquo;ll receive a card with options to reschedule or collect from a UPS Access Point. Sign up for UPS My Choice to manage delivery changes, including date, location, or neighbour drop-off.",
